title,blog,url,chars,gated,n_rule,rules
Day 2: Hello World,OSM,https://www.optionstocksmachines.com/post/2024-10-23-day-2-hello-world/,9454,0,0,
ConnorsRSI Strategy: Optimization Selection,Alvarez Quant Trading,http://alvarezquanttrading.com/2017/04/12/connorsrsi-strategy-optimization-selection/,7694,0,0,
Refining The 0DTE SPX Breakout Strategy with Evidence-Based Exclusions,Quantish,https://blog.quantish.io/2025/09/24/refining-the-0dte-spx-breakout-strategy/,9520,0,0,
Member Note: Our Approach to Selecting Strategies for the Platform,Allocate Smartly,https://allocatesmartly.com/member-note-our-approach-to-selecting-strategies-for-the-platform/?aff=634,11706,0,0,
Day 16: Comps,OSM,https://www.optionstocksmachines.com/post/2024-11-08-day-16-comps/,14380,0,0,
Market intraday momentum,Eran Raviv,https://eranraviv.com/market-intraday-momentum/,8190,0,0,
Forex Trading Diary #6 - Multi-Day Trading and Plotting Results,Quant Start,https://www.quantstart.com/articles/Forex-Trading-Diary-6-Multi-Day-Trading-and-Plotting-Results,12736,0,0,
Order Flow explains FX Carry Trade Strategies,Quantpedia,http://quantpedia.com/Blog/Details/order-flow-explains-fx-carry-trade-strategies?a=6080,5972,0,0,
Different ranking methods for a monthly S&P500 Stock Rotation Strategy,Alvarez Quant Trading,https://alvarezquanttrading.com/blog/different-ranking-methods-for-a-monthly-sp500-stock-rotation-strategy/,8158,0,0,
SP-500 Seasonality,Alvarez Quant Trading,https://alvarezquanttrading.com/blog/sp-500-seasonality/,5143,0,0,
Analyzing U.S. election cycle seasonality in the S&P 500,Quant Dare,https://quantdare.com/analyzing-u-s-election-cycle-seasonality-in-the-sp-500/,6859,0,0,
Multi-Strategy Hedge Funds: Jack of All Trades?,Finominal,https://insights.finominal.com/research-multi-strategy-hedge-funds-jack-of-all-trades/,2158,0,0,
Day 17: Drawdowns,OSM,https://www.optionstocksmachines.com/post/2024-11-11-day-17-drawdowns/,9938,0,0,
Russell Death Cross Implications for SPX,Quantifiable Edges,https://quantifiableedges.com/russell-death-cross-implications-for-spx/,2155,0,0,
A Better Stock Rotation System,Financial Hacker,https://financial-hacker.com/a-better-stock-rotation-system/,6367,0,0,
Overnight Crypto Returns,Falkenblog,https://efalken.substack.com/p/overnight-crypto-returns,4999,0,0,
Announcing the QuantStart Advanced Trading Infrastructure Article Series,Quant Start,https://www.quantstart.com/articles/Announcing-the-QuantStart-Advanced-Trading-Infrastructure-Article-Series,10384,0,0,
New related paper to #8 - FX Momentum,Quantpedia,http://quantpedia.com/Blog/Details/new-related-paper-to-8-fx-momentum?a=6080,5972,0,0,
ChatGPT in Systematic Investing - Enhancing Risk-Adjusted Returns with LLMs,Concretum Group,https://concretumgroup.com/chatgpt-in-systematic-investing-enhancing-risk-adjusted-returns-with-llms/,4332,0,0,
Testing an AI-Assisted Research Workflow for Multi-Asset Pullback Strategy Discovery,Quantpedia,https://quantpedia.com/testing-an-ai-assisted-research-workflow-for-multi-asset-pullback-strategy-discovery/?a=6080,22474,0,0,
I Mastered Chaos Theory to Develop a 3.275 Sharpe FX Strategy,Paper to Profit,https://papertoprofit.substack.com/p/i-mastered-chaos-theory-to-develop,10003,2,0,
Strategy Up/Down Capture,Alvarez Quant Trading,http://alvarezquanttrading.com/2016/09/07/strategy-updown-capture/,5755,0,0,
Cointegrated Time Series Analysis for Mean Reversion Trading with R,Quant Start,https://www.quantstart.com/articles/Cointegrated-Time-Series-Analysis-for-Mean-Reversion-Trading-with-R,15143,0,0,
90 Years Of Death Crosses,Quantifiable Edges,http://quantifiableedges.com/90-years-of-death-crosses/,2751,0,0,
Is the Carry Trade a Diversifying Strategy?,Finominal,https://insights.finominal.com/research-is-the-carry-trade-a-diversifying-strategy/,2811,0,0,
The Hard-Knock Life of Short Sellers,Finominal,https://insights.finominal.com/research-the-hard-knock-life-of-short-sellers/,2786,0,0,
An Exponenetially Weighted Covariance Matrix in R,Robot Wealth,https://robotwealth.com/an-expenonetially-weighted-covariance-matrix-in-r/,13737,0,0,
Crypto Perpetual Contract Pair Trading,Quant Insti,https://blog.quantinsti.com/crypto-perpetual-contract-pair-trading-project-rong-fan/,21701,0,0,
97 Years of Death Crosses,Quantifiable Edges,https://quantifiableedges.com/97-years-of-death-crosses/,2901,0,0,
Testing 87 Different Stop Loss Strategies,Paper to Profit,https://papertoprofit.substack.com/p/i-tested-87-different-stop-loss-strategies,13851,2,0,
The Largest Cost Facing Investors Today,Two Centuries Investments,https://www.twocenturies.com/blog/2019/3/8/the-largest-cost-facing-investors-today,6616,0,0,
Trend-following and Mean-reversion in Bitcoin,Quantpedia,https://quantpedia.com/trend-following-and-mean-reversion-in-bitcoin/?a=6080,13344,0,0,
Replicating Indexes In R (Part III): Socially Responsible Investing,Capital Spectator,http://www.capitalspectator.com/replicating-indexes-in-r-part-iii-socially-responsible-investing/,8212,0,0,
State of Trend Following in November,Au Tra Sy,http://www.automated-trading-system.com/state-of-trend-following-in-november-4/,4923,0,0,
Creating our own S&P 500 Momentum ETF,Quant Dare,https://quantdare.com/creating-our-own-momentum-etf/,6640,0,0,
Thanksgiving Week Seasonality – An Updated Look,Quantifiable Edges,http://quantifiableedges.com/thanksgiving-week-seasonality-an-updated-look/,3190,0,0,
How To Be a Quant Trader - Experiments with @QuantConnect,Robot Wealth,https://robotwealth.com/how-to-be-a-quant-trader-experiments-with-quantconnect/?pa=CEFCE36499,13152,0,0,
Nervous About The Market? It Might Be Time for This Strategy,Meb Faber,http://mebfaber.com/2017/06/15/nervous-market-might-time-strategy/,14313,0,0,
Fitting time series models to the forex market: are ARIMA/GARCH predictions profitable?,Robot Wealth,http://robotwealth.com/fitting-time-series-models-to-the-forex-market-are-arimagarch-predictions-profitable/,21423,0,0,
New related paper to #5 - FX Carry Trade,Quantpedia,http://quantpedia.com/Blog/Details/new-related-paper-to-5-fx-carry-trade?a=6080,5972,0,0,
