title,blog,url,date,excerpt,host,txt,asset,off,ruleish,noise
Currency Management with FX Style Factors,Quantpedia,https://quantpedia.com/Blog/Details/currency-management-with-fx-style-factors?a=6080,"5 Jun 2018, 09:22am","Currency hedging is often approached with an all-or-nothing mentality: either full hedging of all foreign exchange (FX) positions or no hedging at all. As a more nuanced alternative, we suggest systematically harvesting the benefits of the FX style factors carry, value and momentum. In particular,",quantpedia.com,"Currency Management with FX Style Factors || Currency hedging is often approached with an all-or-nothing mentality: either full hedging of all foreign exchange (FX) positions or no hedging at all. As a more nuanced alternative, we suggest systematically harvesting the benefits of the FX style factors carry, value and momentum. In particular,",3,0,1,0
"Spx Low Vol Streak, Update",Voodoo Markets,https://voodoomarkets.wordpress.com/2018/02/18/spx-low-vol-streak-update/,"18 Feb 2018, 02:17pm","Spx had a rather long streak of low volatility. There is no predictive value or signal here, i just wanted to eyeball & visualize how long the low vol streak lasted and how it compared to other low vol streaks. Here are all the Spx low vol streaks (close to close change > +/-1%) that lasted",voodoomarkets.wordpress.com,"Spx Low Vol Streak, Update || Spx had a rather long streak of low volatility. There is no predictive value or signal here, i just wanted to eyeball & visualize how long the low vol streak lasted and how it compared to other low vol streaks. Here are all the Spx low vol streaks (close to close change > +/-1%) that lasted",3,0,1,0
A Simple Measure of Overbought in NASDAQ is Suggesting a Pullback,Quantifiable Edges,http://quantifiableedges.com/a-simple-measure-of-overbought-in-nasdaq-is-suggesting-a-pullback/,"7 Mar 2016, 12:00pm","Friday was the 4th day in a row that the NASDAQ closed higher. While this may not seem to be a big deal, it does not happen very often when the NASDAQ is trading below its 200-day moving average. The table below shows results following all times this has occurred since 2002. 2015-03-07 image1",quantifiableedges.com,"A Simple Measure of Overbought in NASDAQ is Suggesting a Pullback || Friday was the 4th day in a row that the NASDAQ closed higher. While this may not seem to be a big deal, it does not happen very often when the NASDAQ is trading below its 200-day moving average. The table below shows results following all times this has occurred since 2002. 2015-03-07 image1",3,0,1,0
SPX Performance After 2-Days Bounces From Lows Similar To Thurs-Fri,Quantifiable Edges,http://feedproxy.google.com/~r/quantifiableedges/blog/~3/T8nttpktTpA/,"13 Jul 2015, 09:17am","Friday was the 2nd day in a row that SPY put in an unfilled gap up (though Thursday ended with very small gains.) And while the move up on Friday was strong, it still was not strong enough to erase all of Wednesday’s losses. Wednesday was a big down day that left SPX at an intermediate-term low.",feedproxy.google.com,"SPX Performance After 2-Days Bounces From Lows Similar To Thurs-Fri || Friday was the 2nd day in a row that SPY put in an unfilled gap up (though Thursday ended with very small gains.) And while the move up on Friday was strong, it still was not strong enough to erase all of Wednesday’s losses. Wednesday was a big down day that left SPX at an intermediate-term low.",3,0,1,0
Consolidated Source of Data for Bitcoin,Tr8dr,https://tr8dr.wordpress.com/2015/01/27/consolidated-source-of-data-for-bitcoin/,"27 Jan 2015, 04:24pm","It seems like every other month there is a new bitcoin exchange. For the purposes of trading research & backtesting it is important to have historical data across, at least, the most liquid exchanges. My list would be at least: USD/BTC bitfinex (15%) bitstamp (5%) coinbase (new, but likely to",tr8dr.wordpress.com,"Consolidated Source of Data for Bitcoin || It seems like every other month there is a new bitcoin exchange. For the purposes of trading research & backtesting it is important to have historical data across, at least, the most liquid exchanges. My list would be at least: USD/BTC bitfinex (15%) bitstamp (5%) coinbase (new, but likely to",3,0,1,0
Amazing paper related to several momentum strategies,Quantpedia,http://quantpedia.com/Blog/Details/amazing-paper-related-to-several-momentum-strategies?a=6080,"28 May 2015, 07:27am","#2 - Asset Class Momentum - Rotational System #3 - Sector Momentum - Rotational System #8 - FX Momentum #14 - Momentum Effect in Stocks #15 - Momentum Effect in Country Equity Indexes Authors: Geczy, Samonov Title: 215 Years of Global Multi-Asset Momentum: 1800-2014 (Equities, Sectors, Currencies,",quantpedia.com,"Amazing paper related to several momentum strategies || #2 - Asset Class Momentum - Rotational System #3 - Sector Momentum - Rotational System #8 - FX Momentum #14 - Momentum Effect in Stocks #15 - Momentum Effect in Country Equity Indexes Authors: Geczy, Samonov Title: 215 Years of Global Multi-Asset Momentum: 1800-2014 (Equities, Sectors, Currencies,",2,0,10,0
The “SPY RSI No Lie” Swing Trade System,Throwing Good Money,http://throwinggoodmoney.com/2016/04/the-spy-rsi-no-lie-swing-trade-system/,"13 Apr 2016, 03:43pm","Here’s a free system for you. I call it the “SPY RSI No Lie” system. It’s called that because I like stupid titles, and internal rhymes are an added plus. I read a post on Jeff Swanson’s System Trader Success recently about using a short-period RSI value to trigger trades with the S&P",throwinggoodmoney.com,"The “SPY RSI No Lie” Swing Trade System || Here’s a free system for you. I call it the “SPY RSI No Lie” system. It’s called that because I like stupid titles, and internal rhymes are an added plus. I read a post on Jeff Swanson’s System Trader Success recently about using a short-period RSI value to trigger trades with the S&P",2,0,8,0
Weekly Mean Reversion Rotation Strategy on S&P500 Stocks,Alvarez Quant Trading,http://alvarezquanttrading.com/blog/weekly-mean-reversion-rotation-strategy-on-sp500-stocks/,"15 Nov 2017, 11:52am","A reader emailed me about testing a weekly mean reversion rotation strategy on S&P500 stocks. My first thought was, why had I not done this type of test before? The very first strategy that I worked on with Larry Connors was this type of strategy. The strategy I will be testing today is a",alvarezquanttrading.com,"Weekly Mean Reversion Rotation Strategy on S&P500 Stocks || A reader emailed me about testing a weekly mean reversion rotation strategy on S&P500 stocks. My first thought was, why had I not done this type of test before? The very first strategy that I worked on with Larry Connors was this type of strategy. The strategy I will be testing today is a",2,0,7,0
Bitcoin Swing Trading,Philipp Kahler,https://www.quanttrader.com/index.php/bitcoin-swing-trading/KahlerPhilipp2019,"1 Jul 2019, 07:40am",I published a bitcoin swing trading strategy in 2015 over here (German only). Time to review the methodology of swing trading and have a look on the performance. Can a rational strategy get an edge in an irrational market? Have a look and be surprised! Swing Point Trading Technique Swing trading is,quanttrader.com,Bitcoin Swing Trading || I published a bitcoin swing trading strategy in 2015 over here (German only). Time to review the methodology of swing trading and have a look on the performance. Can a rational strategy get an edge in an irrational market? Have a look and be surprised! Swing Point Trading Technique Swing trading is,2,0,6,0
Paul Novell's Flagship Strategy SPY-COMP,Allocate Smartly,https://allocatesmartly.com/paul-novells-flagship-strategy-spy-comp/?aff=634,"23 Apr 2020, 12:33pm","This is a test of the flagship proprietary strategy from Paul Novell’s Investing for a Living. Paul has been kind enough to share his strategy rules to allow for independent verification of his results. SPY-COMP is like Growth-Trend Timing and a handful of other tactical strategies we track, in",allocatesmartly.com,"Paul Novell's Flagship Strategy SPY-COMP || This is a test of the flagship proprietary strategy from Paul Novell’s Investing for a Living. Paul has been kind enough to share his strategy rules to allow for independent verification of his results. SPY-COMP is like Growth-Trend Timing and a handful of other tactical strategies we track, in",2,0,5,0
Free Friday #19 – Long/Short Small Caps and June Update,Build Alpha,https://www.buildalpha.com/free-friday-19-longshort-small-caps-and-june-update/,"30 Jun 2017, 08:06am","This Free Friday, Free Friday #19, is a user submission! It is a long/short strategy for $IWM - the Russell 2000 ETF. Both the long and the short strategy only have two rules each and only hold for 1 day. Below I’ve posted the long strategy on the left and the short strategy on the right. Short",buildalpha.com,"Free Friday #19 – Long/Short Small Caps and June Update || This Free Friday, Free Friday #19, is a user submission! It is a long/short strategy for $IWM - the Russell 2000 ETF. Both the long and the short strategy only have two rules each and only hold for 1 day. Below I’ve posted the long strategy on the left and the short strategy on the right. Short",2,0,5,0
Using 52-week highs in a S&P500 monthly rotation strategy,Alvarez Quant Trading,http://alvarezquanttrading.com/2015/01/14/using-52-week-highs-in-a-sp500-monthly-rotation-strategy/,"14 Jan 2015, 05:07pm","One area of recent interest for me is trading rotational strategies on a monthly timeframe using S&P500 stocks and ETFs. Areas of exploration include Momentum and Dual Momentum. Recently I came across The Secret to Momentum is the 52-Week High??? on Alpha Architect, a blog I highly recommend on",alvarezquanttrading.com,"Using 52-week highs in a S&P500 monthly rotation strategy || One area of recent interest for me is trading rotational strategies on a monthly timeframe using S&P500 stocks and ETFs. Areas of exploration include Momentum and Dual Momentum. Recently I came across The Secret to Momentum is the 52-Week High??? on Alpha Architect, a blog I highly recommend on",2,0,5,0
Skill or Luck? We Ran 100 Million Bitcoin Backtests to Show You How to Tell,Rulyfi,https://rulyfi.com/blog/100-million-backtests-deflated-sharpe,"10 Jul 2026, 05:37am","Key Takeaways The Deflated Sharpe Ratio (DSR) adjusts a strategy's Sharpe for how many strategies you tested. It sets the bar not at zero, but at the best Sharpe you would expect from luck alone after N tries, a bar that grows only with the logarithm of N. Of 99,878,688 BTC/USDT backtests,",rulyfi.com,"Skill or Luck? We Ran 100 Million Bitcoin Backtests to Show You How to Tell || Key Takeaways The Deflated Sharpe Ratio (DSR) adjusts a strategy's Sharpe for how many strategies you tested. It sets the bar not at zero, but at the best Sharpe you would expect from luck alone after N tries, a bar that grows only with the logarithm of N. Of 99,878,688 BTC/USDT backtests,",2,0,4,0
A Key New Momentum Measure to Consider: Distance from 1-Year High,Allocate Smartly,https://allocatesmartly.com/a-key-new-momentum-measure-to-consider-distance-from-1-year-high/?aff=634,"22 May 2023, 09:00am",This research was inspired by Alpha Architect’s coverage of a new paper looking at how the distance from a stock’s 1-year high has affected the performance of momentum strategies and the likelihood of “momentum crashes”. We look at the same question applied to a stock index: the S&P 500.,allocatesmartly.com,A Key New Momentum Measure to Consider: Distance from 1-Year High || This research was inspired by Alpha Architect’s coverage of a new paper looking at how the distance from a stock’s 1-year high has affected the performance of momentum strategies and the likelihood of “momentum crashes”. We look at the same question applied to a stock index: the S&P 500.,2,0,4,0
Trending Fast and Slow,Allocate Smartly,https://allocatesmartly.com/trending-fast-and-slow/?aff=634,"31 May 2022, 01:51pm","This is a test of a tactical strategy from the paper Trending Fast and Slow. It trades the S&P 500 by switching between fast and slow momentum based on market volatility. The strategy would have kept pace with the S&P 500, while significantly reducing the worst drawdowns. Backtested results",allocatesmartly.com,"Trending Fast and Slow || This is a test of a tactical strategy from the paper Trending Fast and Slow. It trades the S&P 500 by switching between fast and slow momentum based on market volatility. The strategy would have kept pace with the S&P 500, while significantly reducing the worst drawdowns. Backtested results",2,0,4,0
More ideas for ranking methods on a monthly S&P500 Stock Rotation Strategy,Alvarez Quant Trading,https://alvarezquanttrading.com/blog/more-ideas-for-ranking-methods-on-a-monthly-sp500-stock-rotation-strategy/,"16 Jun 2021, 10:28pm",My last post on Different ranking methods for a monthly S&P500 Stock Rotation Strategy generated lots of emails on other ideas to try. Below are the results of these ideas Base Rules Backtest from 1/1/2007-12/31/2020. Buy It is the last trading day of the month Stock is a member of the,alvarezquanttrading.com,More ideas for ranking methods on a monthly S&P500 Stock Rotation Strategy || My last post on Different ranking methods for a monthly S&P500 Stock Rotation Strategy generated lots of emails on other ideas to try. Below are the results of these ideas Base Rules Backtest from 1/1/2007-12/31/2020. Buy It is the last trading day of the month Stock is a member of the,2,0,4,0
Where does FX sit in a Systematic Trading Portfolio?,Robot Wealth,https://robotwealth.com/where-does-fx-sit-in-a-systematic-trading-portfolio/?pa=CEFCE36499,"10 Nov 2020, 10:18am","This post is a BONUS LESSON taken directly from Zero to Robot Master Bootcamp. In this Bootcamp, we teach traders how to research, build and trade a portfolio of 3 strategies including an Intraday FX Strategy, a Risk Premia Strategy and a Volatility Basis Strategy. If you’re interested in adding",robotwealth.com,"Where does FX sit in a Systematic Trading Portfolio? || This post is a BONUS LESSON taken directly from Zero to Robot Master Bootcamp. In this Bootcamp, we teach traders how to research, build and trade a portfolio of 3 strategies including an Intraday FX Strategy, a Risk Premia Strategy and a Volatility Basis Strategy. If you’re interested in adding",2,0,4,0
The 50/50 SPY Strategy,Alvarez Quant Trading,https://alvarezquanttrading.com/blog/the-50-50-spy-strategy/,"3 Apr 2019, 12:50pm",I was talking to my trading buddy about the annoying part of trend following strategies. They may get you out of the major sell off but then you miss part of the run up. Using a 200-day moving average on the SPY would have got you out in late 2018. This would have been within 10% from the top and,alvarezquanttrading.com,The 50/50 SPY Strategy || I was talking to my trading buddy about the annoying part of trend following strategies. They may get you out of the major sell off but then you miss part of the run up. Using a 200-day moving average on the SPY would have got you out in late 2018. This would have been within 10% from the top and,2,0,4,0
ConnorsRSI Strategy: Sensitivity Analysis,Alvarez Quant Trading,http://alvarezquanttrading.com/2017/05/03/connorsrsi-strategy-sensitivity-analysis/,"4 May 2017, 04:52am","In Simple ConnorsRSI Strategy on S&P500 Stocks I showed a ConnorsRSI strategy on S&P500 stocks. In ConnorsRSI Strategy: Optimization Selection, I narrowed down the optimization to three potential variations that one could consider trading. This post will explore Sensitivity Analysis (also",alvarezquanttrading.com,"ConnorsRSI Strategy: Sensitivity Analysis || In Simple ConnorsRSI Strategy on S&P500 Stocks I showed a ConnorsRSI strategy on S&P500 stocks. In ConnorsRSI Strategy: Optimization Selection, I narrowed down the optimization to three potential variations that one could consider trading. This post will explore Sensitivity Analysis (also",2,0,4,0
How Many Backtests Is Too Many? We Ran the Same Search Twice to Find Out,Rulyfi,https://rulyfi.com/blog/how-many-backtests-is-too-many,"10 Jul 2026, 07:09pm","Key Takeaways A single strategy, its trades bit-for-bit identical, grades as luck in one scan (deflated Sharpe 0.035, inside a 21.9M-trial search) and close to real in another (0.919, inside 14.8M). The strategy never changed; the crowd it was measured against did. We ran one 5.7-year BTC and ETH",rulyfi.com,"How Many Backtests Is Too Many? We Ran the Same Search Twice to Find Out || Key Takeaways A single strategy, its trades bit-for-bit identical, grades as luck in one scan (deflated Sharpe 0.035, inside a 21.9M-trial search) and close to real in another (0.919, inside 14.8M). The strategy never changed; the crowd it was measured against did. We ran one 5.7-year BTC and ETH",2,0,3,0
Day 1: Benchmarks,OSM,https://www.optionstocksmachines.com/post/2024-10-22-day-1-benchmarks/,"22 Oct 2024, 08:26pm","Yesterday we set out our plan to backtest a strategy using the SPY ETF, which tracks the S&P 500. Before we commence, we obviously need to establish a baseline. What metrics will we use to assess the strategy? How will we define success? What benchmarks will we use? Typically, for a single asset",optionstocksmachines.com,"Day 1: Benchmarks || Yesterday we set out our plan to backtest a strategy using the SPY ETF, which tracks the S&P 500. Before we commence, we obviously need to establish a baseline. What metrics will we use to assess the strategy? How will we define success? What benchmarks will we use? Typically, for a single asset",2,0,3,0
How to use FX carry in trading strategies,SR SV,https://www.sr-sv.com/how-to-use-fx-carry-in-trading-strategies/,"18 Apr 2022, 10:30am","FX forward-implied carry is a valid basis for trading strategies because it is related to divergences in monetary and financial conditions. However, nominal carry is a cheap and rough indicator: related PnLs are highly seasonal, sensitive to global equity markets, and prone to large drawdowns.",sr-sv.com,"How to use FX carry in trading strategies || FX forward-implied carry is a valid basis for trading strategies because it is related to divergences in monetary and financial conditions. However, nominal carry is a cheap and rough indicator: related PnLs are highly seasonal, sensitive to global equity markets, and prone to large drawdowns.",2,0,3,0
"Short-Term Momentum in Stocks, Commodities, and Cryptos",Factor Research,https://insights.factorresearch.com/research-short-term-momentum-in-stocks-commodities-and-cryptos/,"2 Nov 2021, 06:09am","Developed markets have evolved from momentum to mean-reversion markets Other markets like EM or cryptos are momentum-dominated Likely explained by the distribution of retail vs institutional investors INTRODUCTION Markets evolve constantly, but they rarely change structurally. When they do, it is",insights.factorresearch.com,"Short-Term Momentum in Stocks, Commodities, and Cryptos || Developed markets have evolved from momentum to mean-reversion markets Other markets like EM or cryptos are momentum-dominated Likely explained by the distribution of retail vs institutional investors INTRODUCTION Markets evolve constantly, but they rarely change structurally. When they do, it is",2,0,3,0
Trend Following the S&P 500? Some Practical Advice,Alpha Architect,https://alphaarchitect.com/2020/05/18/trend-following-the-sp-500-some-practical-advice/,"19 May 2020, 10:31am","Now that market volatility is back, tail risk management strategies are gaining some attention. A lot of investors are dipping their toe into the water and exploring trend-following strategies on the S&P 500 — arguably the most popular U.S. stock market index.This paper explores multiple trend",alphaarchitect.com,"Trend Following the S&P 500? Some Practical Advice || Now that market volatility is back, tail risk management strategies are gaining some attention. A lot of investors are dipping their toe into the water and exploring trend-following strategies on the S&P 500 — arguably the most popular U.S. stock market index.This paper explores multiple trend",2,0,3,0
Es-CAPE Velocity: Value-Driven Sector Rotation,Flirting with Models,https://blog.thinknewfound.com/2019/08/es-cape-velocity-value-driven-sector-rotation/,"26 Aug 2019, 02:01pm","Systematic value strategies have struggled in the post-2008 environment, so one that has performed well catches our eye. The Barclays Shiller CAPE sector rotation strategy – a value-based sector rotation strategy – has out-performed the S&P 500 by 267 basis points annualized since it",blog.thinknewfound.com,"Es-CAPE Velocity: Value-Driven Sector Rotation || Systematic value strategies have struggled in the post-2008 environment, so one that has performed well catches our eye. The Barclays Shiller CAPE sector rotation strategy – a value-based sector rotation strategy – has out-performed the S&P 500 by 267 basis points annualized since it",2,0,3,0
Testing the Cumulative RSI(2) on Index ETFs,Backtest Wizard,http://backtestwizard.com/the-rsi2-does-it-still-have-an-edge/,"22 Jan 2016, 12:36pm",Joe Marwood has recently posted an article which includes a variety of tests of the RSI(2) when applied to the SPY etf or individual stocks. You can see the original article here. A while back I also tested the RSI(2) on a variety of Equity Index ETFs and I figured that readers might be interested,backtestwizard.com,Testing the Cumulative RSI(2) on Index ETFs || Joe Marwood has recently posted an article which includes a variety of tests of the RSI(2) when applied to the SPY etf or individual stocks. You can see the original article here. A while back I also tested the RSI(2) on a variety of Equity Index ETFs and I figured that readers might be interested,2,0,3,0
Should we consider Gold?,Sharpe Returns,http://www.sharpereturns.ca/2015/10/should-we-consider-gold.html,"3 Oct 2015, 09:51pm","I read a post on Mebane Faber’s blog a few months back about something he calls the “Three-Way Model.” It’s a simple trend following model that uses 3 ETFs: Stocks, Bonds and Gold. The rule is simply: Invest equally in whatever is going ""up"" (ie. 3 month moving average > 10",sharpereturns.ca,"Should we consider Gold? || I read a post on Mebane Faber’s blog a few months back about something he calls the “Three-Way Model.” It’s a simple trend following model that uses 3 ETFs: Stocks, Bonds and Gold. The rule is simply: Invest equally in whatever is going ""up"" (ie. 3 month moving average > 10",2,0,3,0
Friday’s Unfilled Gap Down Completed This Short-Term Bearish Setup,Quantifiable Edges,http://feedproxy.google.com/~r/quantifiableedges/blog/~3/LJiwS6X1pKU/,"15 Jun 2015, 08:55am","Interesting about the action on Friday was that SPY posted an unfilled gap down, and this occurred immediately following an unfilled gap up the day before. The study below was appeared in the Quantifinder. It examines 2-day moves like SPY has just encountered. Based on the numbers there appeared to",feedproxy.google.com,"Friday’s Unfilled Gap Down Completed This Short-Term Bearish Setup || Interesting about the action on Friday was that SPY posted an unfilled gap down, and this occurred immediately following an unfilled gap up the day before. The study below was appeared in the Quantifinder. It examines 2-day moves like SPY has just encountered. Based on the numbers there appeared to",2,0,3,0
Design Patterns for Order Latency - Why You May Need to Implement Your Own Gateway for Trading,Hanguk Quant,https://hangukquant.substack.com/p/design-patterns-for-order-latency,"10 May 2024, 02:04am","Most recently, I announced some coming, exciting upcoming things for quantpylib: Exciting Additions to Quantpylib Exciting Additions to Quantpylib HangukQuant · May 6 Read full story as well as a demontration of its powers: Dual Momentum in Cryptocurrencies? Dual Momentum in Cryptocurrencies?",hangukquant.substack.com,"Design Patterns for Order Latency - Why You May Need to Implement Your Own Gateway for Trading || Most recently, I announced some coming, exciting upcoming things for quantpylib: Exciting Additions to Quantpylib Exciting Additions to Quantpylib HangukQuant · May 6 Read full story as well as a demontration of its powers: Dual Momentum in Cryptocurrencies? Dual Momentum in Cryptocurrencies?",2,0,2,0
"Quant_rv_MV5_big, and a milestone",Babbage9010,https://babbage9010.wordpress.com/2024/01/16/quant_rv_mv5_big-and-a-milestone/,"16 Jan 2024, 09:03pm","The same multi-vol quant strategy we all love, but now with 2000+ vol signals to choose from. quant_rv is a daily SPY strategy that uses realized volatility measures of SPY to predict days of lower volatility ahead, that in turn predict positive returns. In the net, quant_rv wins by very modest",babbage9010.wordpress.com,"Quant_rv_MV5_big, and a milestone || The same multi-vol quant strategy we all love, but now with 2000+ vol signals to choose from. quant_rv is a daily SPY strategy that uses realized volatility measures of SPY to predict days of lower volatility ahead, that in turn predict positive returns. In the net, quant_rv wins by very modest",2,0,2,0
Applying Corrective AI to Daily Seasonal Forex Trading,EP Chan,http://epchan.blogspot.com/2023/03/applying-corrective-ai-to-daily.html,"4 Mar 2023, 05:40pm","We applied Corrective AI (Chan, 2022) to a trading model that takes advantage of the intraday seasonality of forex returns. Breedon and Ranaldo (2012) observed that foreign currencies depreciate vs. the US dollar during their local working hours and appreciate during the local working hours of the",epchan.blogspot.com,"Applying Corrective AI to Daily Seasonal Forex Trading || We applied Corrective AI (Chan, 2022) to a trading model that takes advantage of the intraday seasonality of forex returns. Breedon and Ranaldo (2012) observed that foreign currencies depreciate vs. the US dollar during their local working hours and appreciate during the local working hours of the",2,0,2,0
Modified and balanced FX carry,SR SV,https://research.macrosynergy.com/modified-and-balanced-fx-carry/,"2 Jan 2023, 03:28pm",There are two simple ways to enhance FX carry strategies with economic information. The first increases or reduces the carry signal depending on whether relevant economic indicators reinforce or contradict its direction. The output can be called “modified carry”. It is a gentle adjustment that,research.macrosynergy.com,Modified and balanced FX carry || There are two simple ways to enhance FX carry strategies with economic information. The first increases or reduces the carry signal depending on whether relevant economic indicators reinforce or contradict its direction. The output can be called “modified carry”. It is a gentle adjustment that,2,0,2,0
Positive $SPX Seasonality After the 4th Friday in March,Quantifiable Edges,https://quantifiableedges.com/positive-spx-seasonality-after-the-4th-friday-in-march/,"28 Mar 2022, 08:43pm","There are some bullish forces kicking in the next few weeks. For one, the week after the 4th Friday in March has been a strong one over the last 24 years. (Not as much before that.) We can see this in the study below, which I showed in this weekend’s subscriber letter. Positive SPX seasonality",quantifiableedges.com,"Positive $SPX Seasonality After the 4th Friday in March || There are some bullish forces kicking in the next few weeks. For one, the week after the 4th Friday in March has been a strong one over the last 24 years. (Not as much before that.) We can see this in the study below, which I showed in this weekend’s subscriber letter. Positive SPX seasonality",2,0,2,0
Hurst Exponent - finding the right market for your trading strategy,Philipp Kahler,https://www.quanttrader.com/index.php/hurst-exponent-finding-the-right-market-for-your-trading-strategy/KahlerPhilipp2021,"5 Jan 2021, 10:39am","The Hurst exponent is a measure for the behaviour of the market. It shows if the market behaves in a random, trending or mean-reversion manner. This can be used to select the right trading strategy for your market. Hurst Exponent hurst spx hurst exponent spx The hurst exponent describes the self",quanttrader.com,"Hurst Exponent - finding the right market for your trading strategy || The Hurst exponent is a measure for the behaviour of the market. It shows if the market behaves in a random, trending or mean-reversion manner. This can be used to select the right trading strategy for your market. Hurst Exponent hurst spx hurst exponent spx The hurst exponent describes the self",2,0,2,0
Forex Intraday Seasonality,Dekalog Blog,http://dekalogblog.blogspot.com/2020/07/forex-intraday-seasonality.html,"15 Jul 2020, 08:55pm","Over the last week or so I have been reading about/investigating this post's title matter. Some quotes from various papers' abstracts on the matter are: ""We provide empirical evidence that the unique signature of the FX market seasonality is indeed due to the different time zones",dekalogblog.blogspot.com,"Forex Intraday Seasonality || Over the last week or so I have been reading about/investigating this post's title matter. Some quotes from various papers' abstracts on the matter are: ""We provide empirical evidence that the unique signature of the FX market seasonality is indeed due to the different time zones",2,0,2,0
A Big Gap Up That Wipes Out A Big Loss Yesterday,Quantifiable Edges,https://quantifiableedges.com/a-big-gap-up-that-wipes-out-a-big-loss-yesterday/,"20 May 2020, 09:52am","After closing down more than 1% yesterday, SPY is set to open up enough to erase all of yesterday’s losses. I decided to look back at other times this has happened. SPY Big Gap Up Erases Yesterdays Loss - Open to Close Results Not exactly a consistent edge, but I thought the general upside",quantifiableedges.com,"A Big Gap Up That Wipes Out A Big Loss Yesterday || After closing down more than 1% yesterday, SPY is set to open up enough to erase all of yesterday’s losses. I decided to look back at other times this has happened. SPY Big Gap Up Erases Yesterdays Loss - Open to Close Results Not exactly a consistent edge, but I thought the general upside",2,0,2,0
A Dead Simple 2-Asset Portfolio that Crushes the S&P500 (Part 3),Black Arbs,http://www.blackarbs.com/blog/a-dead-simple-2-asset-portfolio-that-crushes-the-sampp500-part-3,"3 May 2019, 03:04pm","This is an update to the original blog series that explored a simple strategy of being long UPRO and TMF in equal weight, inverse volatility and inverse-inverse volatility. This strategy crushed the cumulative and risk-adjusted returns of the benchmark SPY etf. However through our research we",blackarbs.com,"A Dead Simple 2-Asset Portfolio that Crushes the S&P500 (Part 3) || This is an update to the original blog series that explored a simple strategy of being long UPRO and TMF in equal weight, inverse volatility and inverse-inverse volatility. This strategy crushed the cumulative and risk-adjusted returns of the benchmark SPY etf. However through our research we",2,0,2,0
Simulating Variable FX Swaps in Zorro and Python,Robot Wealth,https://robotwealth.com/simulating-variable-fx-swaps-in-zorro-and-python/,"9 Jul 2018, 07:12pm","One of the ongoing research projects inside the Robot Wealth community involves an FX strategy with some multi-week hold periods. Such a strategy can be significantly impacted by the swap, or the cost of financing the position. These costs change over time, and we decided that for the sake of more",robotwealth.com,"Simulating Variable FX Swaps in Zorro and Python || One of the ongoing research projects inside the Robot Wealth community involves an FX strategy with some multi-week hold periods. Such a strategy can be significantly impacted by the swap, or the cost of financing the position. These costs change over time, and we decided that for the sake of more",2,0,2,0
A Two-Day SPY Pattern Suggesting A Bullish Edge For Wednesday,Quantifiable Edges,http://quantifiableedges.com/a-two-day-spy-pattern-suggesting-a-bullish-edge-for-wednesday/,"28 Feb 2018, 11:20am","SPY gapped up and closed lower Tuesday after leaving an unfilled up gap on Monday. This triggered a simple study that I have examined a number of times over the years in the subscriber letter. The study can be found below. 2018-02-28 The numbers here all look solidly bullish, suggesting a potential",quantifiableedges.com,"A Two-Day SPY Pattern Suggesting A Bullish Edge For Wednesday || SPY gapped up and closed lower Tuesday after leaving an unfilled up gap on Monday. This triggered a simple study that I have examined a number of times over the years in the subscriber letter. The study can be found below. 2018-02-28 The numbers here all look solidly bullish, suggesting a potential",2,0,2,0
Simple ConnorsRSI Strategy on S&P500 Stocks,Alvarez Quant Trading,http://alvarezquanttrading.com/2017/03/15/simple-connorsrsi-strategy-on-sp500-stocks/,"15 Mar 2017, 02:46pm","A frequently asked question is how I pick which variation from an optimization run to trade. This post will cover a ConnorsRSI strategy on S&P500 stocks. We will use a wide range on the parameters to give us lots choices to be used in the next post. I the next post, I will show how I take the",alvarezquanttrading.com,"Simple ConnorsRSI Strategy on S&P500 Stocks || A frequently asked question is how I pick which variation from an optimization run to trade. This post will cover a ConnorsRSI strategy on S&P500 stocks. We will use a wide range on the parameters to give us lots choices to be used in the next post. I the next post, I will show how I take the",2,0,2,0
Hi-Lo Index as a Market Timing Indicator,Alvarez Quant Trading,http://alvarezquanttrading.com/2015/11/11/hi-lo-index-as-a-market-timing-indicator/,"11 Nov 2015, 10:59am","My strategies use a market timing indicator to tell me when I should not be trading the strategy. The blog post, Avoiding Stock Market Crashes with the Hi-Lo Index of the S&P500, presented a very simple idea of using new highs vs new lows. The post tests trading the SPY & IEF but I wanted to",alvarezquanttrading.com,"Hi-Lo Index as a Market Timing Indicator || My strategies use a market timing indicator to tell me when I should not be trading the strategy. The blog post, Avoiding Stock Market Crashes with the Hi-Lo Index of the S&P500, presented a very simple idea of using new highs vs new lows. The post tests trading the SPY & IEF but I wanted to",2,0,2,0
ARIMA+GARCH Trading Strategy on the S&P500 Stock Market Index Using R,Quant Start,https://www.quantstart.com/articles/ARIMA-GARCH-Trading-Strategy-on-the-SP500-Stock-Market-Index-Using-R,"7 Oct 2015, 09:57pm","In this article I want to show you how to apply all of the knowledge gained in the previous time series analysis posts to a trading strategy on the S&P500 US stock market index. We will see that by combining the ARIMA and GARCH models we can significantly outperform a ""Buy-and-Hold""",quantstart.com,"ARIMA+GARCH Trading Strategy on the S&P500 Stock Market Index Using R || In this article I want to show you how to apply all of the knowledge gained in the previous time series analysis posts to a trading strategy on the S&P500 US stock market index. We will see that by combining the ARIMA and GARCH models we can significantly outperform a ""Buy-and-Hold""",2,0,2,0
